Total Time(s),Time_o1(s),Time_o2(s),var1,var2,o1,o2
171.6119999885559,171.61100006103516,0.0,14.0,41.0,35.7,-36.2
91.72500014305115,91.72399997711182,0.0,14.0,20.0,34.0,-35.4
64.75399994850159,64.75399994850159,0.0,5.0,12.0,25.6,-19.5
95.00799989700317,95.00799989700317,0.0,1.0,23.0,8.2,-2.6
92.86499977111816,92.86399984359741,0.0,8.0,21.0,26.2,-18.8
99.07800006866455,99.07800006866455,0.0,11.0,26.0,30.4,-26.7
68.68099999427795,68.68099999427795,0.0,12.0,17.0,24.0,-27.5
160.06000018119812,160.06000018119812,0.0,9.0,38.0,23.3,-21.0
68.49900007247925,68.49900007247925,0.0,1.0,17.0,9.6,-3.2
153.94000005722046,153.94000005722046,0.0,6.0,35.0,16.0,-8.3
65.61999988555908,65.61999988555908,0.0,15.0,13.0,41.3,-41.3
98.91600012779236,98.91600012779236,0.0,9.0,26.0,24.5,-19.5
92.49399995803833,92.49399995803833,0.0,0.0,21.0,11.9,-3.3
99.51900005340576,99.51900005340576,0.0,15.0,26.0,38.4,-37.7
66.4190001487732,66.4190001487732,0.0,15.0,14.0,34.8,-36.9
126.4300000667572,126.40499997138977,0.0,14.0,30.0,31.1,-36.2
157.2079999446869,157.2079999446869,0.0,0.0,38.0,11.8,-1.9
63.82800006866455,63.8270001411438,0.0,6.0,10.0,13.5,-7.6
64.31299996376038,64.31199979782104,0.0,12.0,11.0,23.9,-24.5
97.69099998474121,97.68999981880188,0.0,13.0,25.0,37.7,-33.3
64.32400012016296,64.32400012016296,0.0,9.0,11.0,22.0,-15.7
64.82800006866455,64.82800006866455,0.0,13.0,12.0,34.8,-34.1
92.93899989128113,92.93799996376038,0.0,9.0,21.0,29.1,-21.6
66.37700009346008,66.37700009346008,0.0,12.0,14.0,31.9,-28.9
130.7649998664856,130.7649998664856,0.0,12.0,33.0,34.8,-28.9
123.86500000953674,123.86500000953674,0.0,6.0,29.0,19.7,-12.3
65.54900002479553,65.52900004386902,0.0,9.0,13.0,26.6,-25.3
152.06499981880188,152.06399989128113,0.0,13.0,34.0,32.6,-31.1
63.84400010108948,63.84400010108948,0.0,15.0,10.0,38.4,-41.2
64.29200005531311,64.29200005531311,0.0,13.0,11.0,25.4,-28.1
68.61899995803833,68.61800003051758,0.0,12.0,17.0,24.0,-27.5
65.40499997138977,65.38299989700317,0.0,0.0,13.0,8.8,-0.0
96.74900007247925,96.74900007247925,0.0,9.0,24.0,23.9,-20.8
182.32299995422363,182.32299995422363,0.0,14.0,39.0,35.6,-35.4
92.8439998626709,92.84299993515015,0.0,9.0,21.0,29.1,-21.6
69.4079999923706,69.4079999923706,0.0,13.0,18.0,35.5,-35.4
66.4319999217987,66.4319999217987,0.0,15.0,14.0,34.8,-36.9
93.8840000629425,93.8840000629425,0.0,12.0,22.0,26.1,-29.6
178.80800008773804,178.80800008773804,0.0,4.0,37.0,14.3,-4.7
63.77500009536743,63.77500009536743,0.0,12.0,10.0,32.8,-33.3
89.77099990844727,89.77099990844727,0.0,15.0,18.0,39.2,-42.7
68.6399998664856,68.63899993896484,0.0,12.0,17.0,24.0,-27.5
65.43600010871887,65.43600010871887,0.0,8.0,13.0,23.8,-20.3
143.82800006866455,143.82800006866455,0.0,11.0,29.0,32.5,-28.2
123.90300011634827,123.88100004196167,0.0,0.0,30.0,7.1,-0.6
123.93499994277954,123.93499994277954,0.0,14.0,29.0,36.2,-36.9
97.76200008392334,97.76200008392334,0.0,9.0,25.0,26.9,-18.0
90.88699984550476,90.88699984550476,0.0,8.0,19.0,21.1,-16.7
149.09500002861023,149.09500002861023,0.0,15.0,32.0,37.7,-36.2
65.35899996757507,65.35899996757507,0.0,2.0,13.0,13.7,-1.9
91.85699987411499,91.85699987411499,0.0,8.0,20.0,20.0,-20.9
92.83800005912781,92.83700013160706,0.0,9.0,21.0,29.1,-21.6
68.64099979400635,68.6399998664856,0.0,10.0,17.0,22.5,-23.1
90.86399984359741,90.86399984359741,0.0,13.0,19.0,28.9,-31.1
181.5609998703003,181.5609998703003,0.0,15.0,38.0,31.9,-38.3
178.80400013923645,178.80400013923645,0.0,14.0,37.0,34.8,-34.8
116.63100004196167,116.63100004196167,0.0,7.0,24.0,20.4,-15.2
